[00:00.000 --> 00:01.340]  I did, I did.
[01:24:32.160 --> 01:24:33.680]  on the bottom of the pot.
[01:24:33.680 --> 01:24:35.560]  And of course the top dries down
[01:24:35.560 --> 01:24:39.280]  and you get what's called biofilm,
[01:24:39.280 --> 01:24:42.320]  which turns the whole surface hydrophobic.
[01:24:42.320 --> 01:24:45.760]  So when you pour water on it, it just runs off the sides.
[01:24:45.760 --> 01:24:47.960]  So it's a little bit more tricky
[01:24:47.960 --> 01:24:51.560]  in just a soilless medium or a super soil
[01:24:51.560 --> 01:24:53.480]  than it is in like the horizontal system
[01:24:53.480 --> 01:24:56.480]  where no, the microbes are,
[01:24:56.480 --> 01:25:00.600]  I think I got a study that said 80%
[01:25:00.600 --> 01:25:05.600]  of the microbes can live in an aquatic environment.
[01:25:06.380 --> 01:25:09.640]  I don't know how long, they don't know how long,
[01:25:09.640 --> 01:25:10.840]  but they have proven it.
[01:25:10.840 --> 01:25:13.480]  I mean, amoebas, I find them in ponds,
[01:25:13.480 --> 01:25:16.360]  I find them in aquatic ecosystems,
[01:25:16.360 --> 01:25:19.800]  I find them in aquaculture, it's why I harvest fish yet.
[01:25:19.800 --> 01:25:21.520]  And I also see them in my compost,
[01:25:21.520 --> 01:25:24.600]  I see them in terrestrial soils, all over the place.
[01:25:24.600 --> 01:25:28.400]  And the same with, to some degree, diatoms.
[01:25:28.400 --> 01:25:30.320]  I'm sure that there were a lot more abundant
[01:25:30.320 --> 01:25:32.880]  in the soil in the past before the great migration
[01:25:32.880 --> 01:25:34.080]  or human migration.
[01:25:35.600 --> 01:25:39.600]  But, and then there's, Dr. James White
[01:25:39.600 --> 01:25:41.360]  has done a tremendous amount of research
[01:25:41.360 --> 01:25:45.680]  on endophytic fungi and how,
[01:25:46.400 --> 01:25:49.600]  if in the surface of a leaf, there's an endophytic fungi,
[01:25:49.600 --> 01:25:53.240]  when it hits the soil, it morphs into a saprophyte
[01:25:53.240 --> 01:25:57.480]  or a saprobe, so it starts consuming that organic matter.
[01:25:57.480 --> 01:26:01.120]  Same is true, that leaf falls into a river stream or pond
[01:26:01.120 --> 01:26:04.760]  and it actually becomes an aquatic fungi.
[01:26:04.760 --> 01:26:07.800]  And so there's, the hard part is doing all of the studies
[01:26:07.800 --> 01:26:10.840]  on this stuff, because there's just not a lot of money
[01:26:10.840 --> 01:26:12.040]  being spent in this.
[01:26:12.040 --> 01:26:16.080]  You know, people spend money to make money.
[01:26:16.800 --> 01:26:18.760]  They don't spend money because they're inquisitive,
[01:26:18.760 --> 01:26:20.640]  unless you're a lunatic like me,
[01:26:20.640 --> 01:26:22.640]  but there's not a lot of us out here.
[01:26:22.640 --> 01:26:25.920]  So bottom line is that that kind of research
[01:26:26.880 --> 01:26:30.680]  is going to become available because as more and more people
[01:26:30.680 --> 01:26:33.480]  graduate from college and want to continue on
[01:26:33.480 --> 01:26:36.040]  to their education, those are the people
[01:26:36.040 --> 01:26:39.240]  that are actually doing the work, the research,
[01:26:39.240 --> 01:26:40.640]  to get their PhDs.
[01:26:40.640 --> 01:26:43.960]  And that's another reason why we do the Clubhouse,
[01:26:43.960 --> 01:26:46.120]  Craig Leaf and I, is to get other people
[01:26:46.120 --> 01:26:50.440]  to start paying attention and connect the science world
[01:26:50.440 --> 01:26:53.680]  with the independent growers so that we can get them
[01:26:53.680 --> 01:26:55.560]  to start collecting data for us as well,
[01:26:55.560 --> 01:26:58.000]  so that we can get some more of this, you know,
[01:26:58.000 --> 01:26:59.760]  critical information that we need.
[01:26:59.760 --> 01:27:03.000]  But for the most part, no, the microbes will do fine
[01:27:03.000 --> 01:27:04.040]  in an overwater.
[01:27:04.040 --> 01:27:06.360]  I mean, think about how many torrential rainstorms,
[01:27:06.360 --> 01:27:09.480]  you know, that we get on the surface of the earth
[01:27:09.480 --> 01:27:10.400]  all over the place.
[01:27:10.400 --> 01:27:14.920]  And you don't see a huge die down under those conditions.
[01:27:15.800 --> 01:27:18.400]  The only times you really see a die down is, you know,
[01:27:18.400 --> 01:27:23.200]  a volcanic explosion, you know, earthquakes,
[01:27:23.200 --> 01:27:25.400]  even tornadoes and hurricanes.
[01:27:25.400 --> 01:27:28.720]  I mean, they do some damage, but pretty soon,
[01:27:28.720 --> 01:27:30.000]  the plants start to come back
[01:27:30.000 --> 01:27:32.760]  and the microbial communities build back up again.
[01:27:32.760 --> 01:27:35.640]  You look at Mount St. Holland, five years after that,
[01:27:35.640 --> 01:27:39.360]  she popped her cork, man, she came back with a roaring rush.
[01:27:39.360 --> 01:27:41.840]  So, you know, maybe some of the tropical islands
[01:27:41.840 --> 01:27:44.640]  are less so because they don't have the diversity
[01:27:44.640 --> 01:27:47.640]  blowing in on the wings, so to say.
[01:27:48.720 --> 01:27:52.040]  But no, microbes can handle that, you know, incredible water.
[01:27:52.040 --> 01:27:56.040]  Now, if you let them waterlog or go anaerobic,
[01:27:56.040 --> 01:27:57.080]  that's a different game.
[01:27:57.080 --> 01:27:59.800]  Now the anaerobes are gonna consume the aerobes
[01:27:59.800 --> 01:28:01.240]  and then you're gonna have to swing it back,
[01:28:01.240 --> 01:28:03.720]  which is called re-inoculate.
[01:28:03.720 --> 01:28:06.480]  But I hope I answered that, a little long winded,
[01:28:06.480 --> 01:28:08.520]  but doing the best I can.
[01:28:10.320 --> 01:28:11.880]  You see that?
[01:28:11.880 --> 01:28:13.720]  What's up, green goddess?
[01:28:15.960 --> 01:28:17.960]  What's up, green goddess?
[01:28:17.960 --> 01:28:19.960]  All right, Andrew, what is in your teas?
[01:28:19.960 --> 01:28:22.440]  What are you using for, you know,
[01:28:22.440 --> 01:28:25.560]  you said you used an IMO2 and you liquefy,
[01:28:25.560 --> 01:28:27.840]  were there any other compost extracts
[01:28:27.840 --> 01:28:29.600]  or anything that you're doing?
[01:28:29.600 --> 01:28:33.240]  I do, I just like worm casting teas occasionally.
[01:28:33.240 --> 01:28:38.240]  And I also use like some of the dragonfly products.
[01:28:38.360 --> 01:28:41.320]  I really like their lush roots in particular.
[01:28:42.440 --> 01:28:45.520]  That's something that I've been incorporating into my teas.
[01:28:45.520 --> 01:28:49.360]  And yeah, I mean, that's, I keep it pretty simple.
[01:28:49.360 --> 01:28:53.520]  I water in the IMO teas and other times I'm watering in
[01:28:54.400 --> 01:28:59.400]  like ferment drenches with like FPJ and vinegar.
[01:28:59.800 --> 01:29:03.640]  And sometimes like I'll like do some like casting with that,
[01:29:03.640 --> 01:29:06.080]  like, and, you know, like add that into the casting
[01:29:06.080 --> 01:29:07.860]  after I brewed it.
[01:29:08.380 --> 01:29:10.660]  And it seems to work really well.
[01:29:12.580 --> 01:29:15.220]  Yeah, dragonfly has some bad-ass shit for sure.
[01:29:16.540 --> 01:29:18.020]  So bad-ass, like they said,
[01:29:18.020 --> 01:29:19.940]  if you spray their stuff late into flower,
[01:29:19.940 --> 01:29:22.300]  that mystic, their mystic product,
[01:29:22.300 --> 01:29:25.300]  you're gonna fail your microbial tests
[01:29:25.300 --> 01:29:28.900]  because it doesn't discern good from bad.
[01:29:28.900 --> 01:29:30.980]  Yeah, unfortunately.
[01:29:30.980 --> 01:29:31.820]  Yeah.
[01:29:31.820 --> 01:29:32.640]  Maybe someday.
[01:29:35.300 --> 01:29:37.100]  So were there any other questions out there, Peter?
[01:29:37.780 --> 01:29:38.620]  There we go.
[01:29:40.140 --> 01:29:42.260]  Do any of you ever use soap nuts?
[01:29:44.780 --> 01:29:47.220]  I have not, I've used yucca.
[01:29:47.220 --> 01:29:48.060]  No.
[01:29:48.060 --> 01:29:49.420]  Soap nuts do work well.
[01:29:49.420 --> 01:29:52.720]  This would be a replacement for yucca basically.
[01:29:53.660 --> 01:29:55.060]  How is it better than yucca?
[01:29:55.060 --> 01:29:57.140]  Can we talk about that then?
[01:29:57.140 --> 01:29:58.220]  I don't think it's better.
[01:29:58.220 --> 01:29:59.980]  It's just a pack.
[01:29:59.980 --> 01:30:02.860]  So it basically, it breaks the surface tension
[01:30:02.860 --> 01:30:05.900]  on whatever you're applying it
[01:30:05.900 --> 01:30:08.300]  so that the water coats it evenly.
[01:30:08.300 --> 01:30:12.220]  Because yucca is a pinch basically
[01:30:12.220 --> 01:30:13.540]  for a five-gallon bucket.
[01:30:13.540 --> 01:30:16.680]  I mean, that'll last you two years.
[01:30:17.900 --> 01:30:21.900]  So is that kind of the same ratios with that product?
[01:30:21.900 --> 01:30:22.780]  I don't know.
[01:30:22.780 --> 01:30:25.100]  I haven't played with the soap nuts.
[01:30:25.100 --> 01:30:28.380]  So maybe I'd have put that on my list of,
[01:30:28.380 --> 01:30:30.040]  long list of things to play with.
[01:30:31.040 --> 01:30:31.880]  But I have-
[01:30:31.880 --> 01:30:35.780]  Layton, I'll hook you up with a pair of soap nuts.
[01:30:35.780 --> 01:30:38.480]  I'll get them to you.
[01:30:42.520 --> 01:30:44.880]  Did you see this question?
[01:30:44.880 --> 01:30:47.680]  Oh, do you use any fish products, Andrew?
[01:30:47.680 --> 01:30:51.080]  I do use some fish products during veg.
[01:30:51.080 --> 01:30:52.320]  I use FAA.
[01:30:52.320 --> 01:30:56.200]  And, but when I haven't had FAA,
[01:30:56.200 --> 01:30:59.640]  cause I know that is a challenge for a lot of people.
[01:31:00.240 --> 01:31:01.080]  I have had pretty good luck
[01:31:01.080 --> 01:31:04.040]  with the down to earth fish powder.
[01:31:04.040 --> 01:31:06.640]  That has also worked pretty well for me in the soil.
[01:31:09.160 --> 01:31:12.680]  So you did, you used hydrolysate or I missed that
[01:31:12.680 --> 01:31:14.240]  cause I was reading the comments.
[01:31:14.240 --> 01:31:17.520]  So I've used, so like I'm using FAA now.
[01:31:17.520 --> 01:31:18.360]  Yeah.
[01:31:18.360 --> 01:31:20.680]  In the past, like when I didn't have FAA,
[01:31:20.680 --> 01:31:24.200]  I've used this fish powder from down to earth
[01:31:24.200 --> 01:31:26.240]  and it's pretty, it's pretty effective.
[01:31:27.080 --> 01:31:29.680]  So it's a dehydrated hydrolysate?
[01:31:29.680 --> 01:31:33.260]  It's yeah, it's a dehydrated like fish powder.
[01:31:33.260 --> 01:31:35.800]  And it's, you use like a teaspoon a gallon.
[01:31:35.800 --> 01:31:36.640]  Okay.
[01:31:36.640 --> 01:31:37.480]  But-
[01:31:37.480 --> 01:31:38.320]  Does it go right in the fish?
[01:31:38.320 --> 01:31:40.280]  I think they recommend a lot more than that,
[01:31:40.280 --> 01:31:42.760]  but like I've used, I used it like fractionally
[01:31:42.760 --> 01:31:45.160]  to like what they're recommending on the box.
[01:31:45.160 --> 01:31:48.160]  Like that would be my advice, like with a product like that.
[01:31:50.160 --> 01:31:53.640]  Other than that, like that's what I have to say about fish.
[01:31:53.640 --> 01:31:56.120]  Did you use their down to earth,
[01:31:56.120 --> 01:31:57.480]  with the down to earth products?
[01:31:57.480 --> 01:31:59.940]  Did you ever use their bio live?
[01:32:01.440 --> 01:32:03.840]  Ask him about weed and he'll talk all day.
[01:32:03.840 --> 01:32:06.440]  Ask him about fish and he'll be a man of few words.
[01:32:09.360 --> 01:32:11.160]  Go ahead and re-answer that Andrew.
[01:32:12.160 --> 01:32:14.360]  All right, say that question one more time.
[01:32:16.040 --> 01:32:17.680]  Oh no, I forgot what I asked him.
[01:32:19.240 --> 01:32:20.720]  Yeah, we need playback.
[01:32:20.720 --> 01:32:23.200]  Does anyone remember Brian's question?
[01:32:24.720 --> 01:32:27.420]  Oh, I was so entranced with what you guys were saying.
[01:32:28.880 --> 01:32:30.600]  I don't know, he's talking to fish.
[01:32:30.600 --> 01:32:31.640]  I don't remember dude.
[01:32:31.640 --> 01:32:34.640]  Like I like totally like went over my head.
[01:32:34.640 --> 01:32:36.400]  Oh, what about good?
[01:32:36.400 --> 01:32:37.680]  Yeah, fish heads are great man.
[01:32:37.680 --> 01:32:40.480]  Grind them up, put them in your compost pile for sure.
[01:32:40.480 --> 01:32:42.080]  That's how the old heads would,
[01:32:42.080 --> 01:32:44.000]  I mean, I remember they would talk about that stuff
[01:32:44.000 --> 01:32:46.280]  when I was living down in Valdosta, Georgia.
[01:32:46.280 --> 01:32:47.760]  They're talking about just throw it in the field
[01:32:47.760 --> 01:32:49.280]  and put a fish head down there.
[01:32:49.280 --> 01:32:51.200]  I'm always like really like skeptical
[01:32:51.200 --> 01:32:53.080]  on like where the fish is coming from though
[01:32:53.080 --> 01:32:54.720]  because of like all the heavy metals
[01:32:54.720 --> 01:32:57.680]  and like fish you can eat, fish you can't eat
[01:32:57.680 --> 01:33:00.560]  and like how those things can accumulate in the soil.
[01:33:00.560 --> 01:33:04.200]  So, you know, like with that down to earth product,
[01:33:04.200 --> 01:33:06.720]  you know, I always use it like super lightly
[01:33:06.720 --> 01:33:09.680]  and like for like a short period of time
[01:33:09.680 --> 01:33:11.800]  because I never even knew where the fish was coming from.
[01:33:11.800 --> 01:33:12.640]  Like.
[01:33:12.640 --> 01:33:15.000]  Might be a hundred percent swordfish or something.
[01:33:15.000 --> 01:33:17.960]  Well, not just that, but like, you know,
[01:33:18.280 --> 01:33:20.080]  like some of these fish that are out there
[01:33:20.080 --> 01:33:23.240]  have unnatural levels of like plastics and metals in them.
[01:33:23.240 --> 01:33:26.360]  And you're seeing all kinds of stuff with fish.
[01:33:26.360 --> 01:33:31.120]  It's disturbing and it's, I don't know, it's concerning.
[01:33:31.120 --> 01:33:33.160]  I don't know if any of you guys seen that,
[01:33:34.400 --> 01:33:36.120]  what was it, that new Netflix documentary,
[01:33:36.120 --> 01:33:38.120]  that sea spiracy they're talking about.
[01:33:38.120 --> 01:33:40.240]  Like, I mean, I almost don't even want to like
[01:33:40.240 --> 01:33:42.200]  take anything from the ocean at that rate.
[01:33:42.200 --> 01:33:45.560]  Like, you know, like that was pretty crazy.
[01:33:45.560 --> 01:33:46.400]  Yeah, it is.
[01:33:46.400 --> 01:33:47.240]  It is.
[01:33:47.520 --> 01:33:52.120]  Just the, like how fast like these species are declining
[01:33:52.120 --> 01:33:52.960]  and it's like all of them.
[01:33:52.960 --> 01:33:54.440]  It's not just like a few things.
[01:33:54.440 --> 01:33:56.800]  And it's, I don't know, it's disturbing.
[01:33:57.680 --> 01:34:00.840]  And I think like when you're sourcing fish,
[01:34:00.840 --> 01:34:04.080]  like, I don't know, like I've always had, like,
[01:34:04.080 --> 01:34:06.320]  you know, it's kind of like a necessary part
[01:34:06.320 --> 01:34:08.160]  of like the organic system, I feel.
[01:34:08.160 --> 01:34:12.120]  But like, there's like been like kind of like,
[01:34:12.120 --> 01:34:13.800]  like I want to know where the fish is coming from.
